Data_Extracted_By,Type_of_Study,Authors,Year,DOI,Location,Type_of_Fishery,Fishery_Species,Climate_Y_or_N,Policy_Y_or_No,Climate_Stressor,Policy_Intervention,Output,Result,Notes
Annie,Research article,Wabnitz,2018,,,,,,,,,,,
Annie,Research article,Fathelrahmen et al.,2018,,,,,,,,,,,
Annie,Research article,Edwards & Evans,2017,,,,,,,,,,,
Annie,Research article,Mumby et al.,2017,,,,,,,,,,,
Annie,Research article,Coghlan,2017,,,,,,,,,,,
Annie,Research article,Mullan,2017,,,,,,,,,,,
Annie,Research article, Lent & Squires,2017,,,,,,,,,,,
Annie,Research article,Young,2017,,,,,,,,,,,
Annie,Research article,Anticamara,2017,,,,,,,,,,,
Annie,Research article,Samoilys et al.,2017,,,,,,,,,,,
Annie,Research article,Lubchenco,2017,,,,,,,,,,,
Annie,Research article,Mina,2016,,,,,,,,,,,
Annie,Research article,Thomas,2016,,,,,,,,,,,
Annie,Research article,Gallego-Alvarez,2016,,,,,,,,,,,
Annie,Research article,Jones,2015,,,,,,,,,,,
Annie,Research article,Sadowski,2015,,,,,,,,,,,
Annie,Research article,McClanahan et al.,2015,,,,,,,,,,,
Annie,Research article,Xu et al.,2015,,,,,,,,,,,
Annie,Review article,Hejnowicz et al.,2015,,,,,,,,,,,
Annie,Research article,Chen et al.,2015,,,,,,,,,,,
Annie,Research article,Torre-Castro et al.,2014,,,,,,,,,,,
Annie,Research article,Walton et al.,2014,,,,,,,,,,,
Annie,Research article,Costello,2014,,,,,,,,,,,
Annie,Research article,Islam et al.,2014,,,,,,,,,,,
Annie,Book chapter,Miller,2014,,,,,,,,,,,
Annie,Research article,White et al.,2014,,,,,,,,,,,
Annie,Perspective,Toonen et al.,2014,,,,,,,,,,,
Annie,Research article,Klein et al.,2013,,,,,,,,,,,
Annie,Book chapter,Cheung & Sumaila,2013,,,,,,,,,,,
Annie,Book chapter,Sterner & Coria,2013,,,,,,,,,,,
Annie,Research article,Sibert et al.,2012,,,,,,,,,,,
Annie,Research article,Allnutt et al.,2012,,,,,,,,,,,
Annie,Book chapter,Mayo-Ramsay,2012,,,,,,,,,,,
Annie,Research article,Daw et al,2012,,,,,,,,,,,
Annie,Research article,Portman,2011,,,,,,,,,,,
Annie,Research article,Graham et al.,2011,,,,,,,,,,,
Annie,Book chapter,Grorud-Colvert et al.,2011,,,,,,,,,,,
Annie,Conference paper,Abs et al. ,2010,,,,,,,,,,,
Annie,Review article,McCook et al.,2010,,,,,,,,,,,
Annie,Research article,Marshall et al.,2010,,,,,,,,,,,
Annie,Review article,Hoekman et al.,2010,,,,,,,,,,,
Annie,Research article,de La Fayette,2009,,,,,,,,,,,
Annie,Research article,Rockmann et al.,2009,,,,,,,,,,,
Annie,Research article,Winther,2008,,,,,,,,,,,
Annie,Research article,Doyen et al.,2007,,,,,,,,,,,
Annie,Research article,Lombard et al.,2007,,,,,,,,,,,
Annie,Research article,Rockmann et al.,2007,,,,,,,,,,,
Annie,Review article,Pitcher,2005,,,,,,,,,,,
